,sim,sentence1,sentence2
379,1,russian officials called conference conventional forces europe treaty discuss ratification amended treaty ,antonov spoke day conference conventional forces europe treaty
380,1,russian president putin signs decree suspending russias application european arms control treaty ,president vladimir putin signed decree suspending russias participation conventional forces europe treaty
381,1,myanmar formerly known burma ,myanmar formerly called burma
382,0,alto huallaga located northeast capital lima ,puerto cabezas located 557 km northeast managua nicaragua
383,1,nato regrets russias decision suspend participation cfe ,russias decision suspend participation cfe step wrong direction
384,1,human rights violations myanmar include summary executions torture recruitment child soldiers ,human rights violations include summary executions torture recruitment child
385,1,general nikolai n urakov stated telephone state scientific center applied microbiology quite reliable systems protection case emergency ,general nikolai n urakov longtime director state scientific center applied microbiology
386,1,alstom competition japanese german countries contract ,alstom competing japanese company shinkansen german company ice contract
387,1,legislation recent effort japan ascribe freedom tightly controlled military would overturn ban military use space ,legislation recent effort japan ascribe freedom tightly controlled military technically known selfdefense force
388,0,south korea launches new bullet train reaching 300 kph ,south korea bullet train system since 1980s
389,1,russia member quartet middle east ,russia member nsg
390,1,anatoly sokolov announced sovietbuilt a135 missile defense system around moscow obsolete inefficient ,sovietbuilt a135 missile defense system around moscow obsolete inefficient
391,0,deal process several years ,iaea investigating irans nuclear activities 4 years
392,1,adherence nonproliferation obligations enhance mutual trust foster international cooperation nuclear energy ,zhang yan stated countries abide nonproliferation obligations order enhance mutual trust create sound environment international cooperation nuclear energy
393,1,french energy transport company alstom may sign contract build highspeed rail link beijing shanghai ,alstom may sign contract build highspeed rail link beijing shanghai
394,0,drug become integral decades ,drug around forms years
395,1,international atomic energy agency reached agreement iranian officials stated remaining issues ambiguities regarding irans nuclear program activities ,accord said remaining issues ambiguities regarding irans nuclear program activities
396,1,beijing police apprehend 20 people including 8 foreigners suspicion using trafficking drugs 2 pubs popular downtown area ,beijing police apprehended 20 people suspicion using trafficking drugs 2 downtown bars
397,1,russia ratified updated treaty 2004 united states nato members refused arguing moscow must first fulfill obligations withdraw forces georgia moldovas separatist region transdniester ,russia ratified amended version united states nato members refused russian government withdraws troops former soviet republics moldova georgia
398,1,conflicting opinion extent damage suffered insurgency ,violence continues despite conflicting opinion extent damage suffered rebel groups
399,1,helmand province worlds largest opiumproducing region ,helmand province worlds largest producer opium
400,0,police stated tsai wenhuang would extradited taiwan ,police stated chung run
401,0,2 individuals arrested released ,2 zambians arrested juveniles
402,1,mexican president felipe calderon sent 2800 special agents soldiers sinaloa due high degree organized crime drug trafficking ,mexican president felipe calderon sent 2800 special agents soldiers sinaloa fight drug trafficking
403,0,berlin host toplevel meetings october save key european arms control treaty conventional forces europe cfe ,russia suspended participation key european arms control treaty governs deployment troops europe
404,0,osce meeting lasted two days ,osce meeting held madrid
405,1,cfe treaty signed 1990 ,cfe treaty established 1990
406,1,iran insists program aimed solely peaceful pursuits generation ,iran insists nuclear program peaceful purposes
407,1,china important force safeguarding world peace ,china important force promoting world development
408,1,north korea denies involvement nuclear program syria ,north korea denies involvement syrian nuclear project
409,0,spokesman stockwell day immediately available ,chinese authorities immediately available comment
410,1,kim myongchol warned interdiction north korean vessels north korean government would retaliate nuclear missile attack major cities new york washington ,kim myongchol stated north korea would retaliate nuclear missile attack major cities new york washington dc
411,1,iran prolific applier death penalty world china ,islamic republic prolific applier death penalty world china
412,0,john duncan great britains ambassador multilateral arms control disarmament ,un assembly chinese government urges increased efforts toward global arms control disarmament
413,1,treaty amended 1999 collapse soviet union ,treaty amended 1999 reflect changes since soviet breakup
414,1,kashmir divided india pakistan ,kashmir claimed india pakistan
415,0,south korea israel oppose proliferation weapons mass destruction arms race ,china resolutely oppose proliferation mass destructive weapons
416,1,kadhafi warns us britains failure compensate libya nuclear disarmament deter iran north korea disarming ,western countries failure sufficiently compensate libya deter iran north korea disarming
417,1,russia ratified amended treaty ,russia ratified updated treaty 2004
418,1,staff 30 specialists conduct research training cyber warfare prepared assist nato members response future cyber attacks ,staff 30 specialists conduct research training cyber warfare
419,1,jamaatiislamis youth wing staged separate demonstration kashmir ,jamaatiislamis youth wings demonstration us attack iraq
420,1,china resolutely oppose means delivery mass destructive weapons ,china always opposed proliferation weapons mass destruction
421,1,breakdown order china lead significant global turmoil ,breakdown order china worse afghanistan yugoslavia
422,1,north korea claimed nuclear ambitions currently north korea reported missiles aimed japan ,north korea boasted nuclear ambitions north korea reported missiles trained
423,0,abuja capital ,tskhinvali capital georgia
424,1,united states government accused iranian government trying develop nuclear weapons cover civilian nuclear program ,us allies accused iran attempting develop nuclear weapons guise civilian nuclear program
425,0,tirana capital ,abuja capital
426,1,armed clash iranian police kill 4 alleged drug traffickers arrest 2 seize nearly 5 metric tons opium morphine ,armed clashes southeastern iran police seized nearly 5 metric tons 55 tons opium morphine
427,1,irans nuclear projects peaceful purposes ,iran insists nuclear program peaceful purposes
428,1,china resolutely oppose proliferation mass destructive weapons ,china resolutely oppose means delivery mass destructive weapons
429,0,china north koreas closest ally ,north korea reclusive state
430,1,libyan foreign minister abdel rahman shalgam visited london first visit libyan foreign minister since 1969 ,shalgams visit london first libyan foreign minister since 1969
431,1,goff stated presents major threat global security ,presents major threat global security
432,0,cambodia vietnam finalized agreement stop asian european drug traffickers ,syrian russian officials signed agreement cooperation combating drug trafficking
433,1,activists stated russia imprisoning people without evidence illegal activity ,russia imprisons people without evidence illegal activity
434,1,restraining extremist groups becoming increasingly difficult groups financed ,bruguiere stated restraining extremist groups particularly across europe becoming increasingly difficult groups financed
435,0,zabol town southeastern iran ,khoramabad city western iran
436,1,detainees accused homicide criminal collaboration kidnapping funding terrorism include members military police ,iguaran stated detainees accused homicide criminal collaboration kidnappings funding terrorism
437,1,existing rods could produce 36 atomic bombs 68 months ,experts stated rods could produce 36 atomic bombs 68 months
438,1,international atomic energy agency may tricked eager deal ,international atomic energy agency plan draws negotiations many months
439,1,myanmar government stated myanmar become opiumfree 2014 ,myanmar government stated myanmar track drugfree 2014
440,1,jewishamerican group antidefamation league adl published fullpage advertisements swiss international papers april 2008 accusing switzerland funding terrorism deal ,antidefamation league took fullpage advertisments swiss international newspapers earlier april 2008 accusing switzerland funding terrorism deal
441,0,france provides rockets guns engines ,britain provides fuel tanks gearboxes
442,1,capital offenses saudi arabia include rape murder apostasy armed robbery drug trafficking ,capital offences iran include murder rape armed robbery serious drug trafficking adultery
443,1,bae systems uks largest defense company ,bae systems uks largest military
444,1,lavrov told us secretary state condoleezza rice russia remains open dialogue ,us secretary state condoleezza rice demanded russia withdraw forces
445,1,additional individuals entities subject assets freeze ,resolution includes broadened list individuals entities subject assets freeze
446,1,withdrawal treaty would allow russia bolster forces near russian borders ,withdrawal conventional forces europe treaty would allow russia bolster forces near russian borders
447,0,fan stated commission primarily concerned term future investment taiwan ,fan stated commission ensure commitments upheld investments way
448,1,government spokesman maseko stated administrative papers order government south africa cannot intervene prevent weapons transported territory neighboring landlocked country ,spokesman themba maseko stated long administrative papers order south africa cannot intervene prevent weapons transported south african territory zimbabwe
449,1,president dmitry medvedevs statement posted kremlin website carried full state news agencies ,statement posted kremlin web site carried state news agencies
450,0,turkmenistan borders afghanistan ,sistanbaluchestan borders afghanistan pakistan
451,1,number executions increased iran last year amid campaign aimed improving security society ,number executions increased dramatically 2007 amid campaign iranian authorities state aimed improving security society
452,1,syria denies undeclared nuclear program ,syria denies existence undeclared nuclear program
453,0,amnesty international rights group based london ,international institute strategic studies located london
454,1,number 254 tabulated afp count compiled press witness reports ,number executions iran 2007 calculated afp count compiled press reports
455,1,iranian government stated iranian nuclear program remains peaceful ,iranian government says nuclear program peaceful
456,0,shingarev said difficult make nuclear weapon plutonium fuel ,donohue said difficult manipulate radioactive isotopes without leaving trail
457,0,paris capital france ,lima capital
458,1,indian government official spoke condition anonymity ,official spoke condition anonymity
459,1,russia threatened several times withdraw cfe odds united states us plans install missile defense shield eastern ,russia repeatedly threatened withdrawal cfe opposition plans extension us missile defense shield eastern europe
460,0,plan tunisia creation electronic databases facilitate tax collection ,plan nigeria mozambique creation electronic database real estate
461,1,china praised international community efforts resolve korean peninsula nuclear issue ,china praised especially asiapacific states efforts resolve korean peninsula nuclear issue
462,1,russian foreign ministry stated russia suspended dialogue ,russian officials stated russia reconsider suspension
463,1,arms smugglers drug cartels must eliminated southeast asia ,arms smugglers drug cartels abet terrorists
464,1,new law attempts remove legal obstacles building advanced spy satellites help innovation japanss space industry ,purpose new law remove legal obstacles building advanced spy satellites encourage innovation japanss space industry
465,1,zhang stated china opposes restricting peaceful use nuclear energy nonnuclearweapon states basis nonproliferation peaceful use nuclear energy crucial objective npt ,zhang yan stated china opposes using nonproliferation pretext restricting depriving nonnuclearweapon states right peaceful use nuclear energy
466,1,nonproliferation expert international institute strategic studies mark fitzpatrick stated iaea report unusually strong tenor ,senior fellow international institute strategic studies mark fitzpatrick stated international atomic energy agency plan superficial
467,1,treaty limits number aircraft tanks nonnuclear heavy weapons around europe ,conventional forces europe treaty limits number military aircraft tanks nonnuclear heavy weapons europe
468,1,estonian officials stated cyber attacks caused estonian government websites shut temporarily came computers administration russia including office president vladimir putin ,officials estonia including prime minister andrus ansip claimed cyber attacks came russian government computers including computers office russian president vladimir putin
469,1,britain struck agreement supply saudi arabia typhoon jets deal worth estimated 8 billion pounds 139 billion us dollars ,uk agreed supply saudi arabia typhoon jets deal worth estimated 8 billion pounds approximately 139 billion us dollars uk defense company bae systems
470,1,opium raw ingredient heroin ,poppies yielded raw ingredient heroin
471,1,wi sunglac refused give details north korean nuclear reactor project ,south korea far taken cautious stance issue north korean nuclear reactor project
472,1,agreement aimed establish wider cooperation covering national security fight global terrorism ,statement british ministry defense stated agreement aims establish wider cooperation covering national security fight global terrorism
473,1,many executed iran hanged public ,many people executed hanged public
474,1,united states allies united states believe iran pursuing nuclear arms ,united states european nations believe irans nuclear projects purpose making nuclear weapons
475,1,cfe important european security ,cfe cornerstone european security
476,1,indian troops already fighting rebels kashmir engaged massive campaign destroy poppy crops region ,indian troops already fighting rebels also engaged massive operation destroy poppy crops kashmir
477,0,matter delicate ,iaea report restricted
478,1,last week russia announced suspend participation cfe ,nato regrets russias decision suspend participation cfe
479,1,us western nations nato condemned violence ,us western nations nato demanded ceasefire
480,0,indian nationals constitute largest number foreign inmates nepal prisons ,drug traffickers foreign countries constitute largest percentage foreign inmates nepal
481,1,judicial order accused raghad funding terrorism ,court accused raghad saddam hussein funding terrorism
482,1,myanmars military rulers burned approximately 250 million dollars worth illegal drugs mark international day drug abuse illicit trafficking ,myanmars military rulers incinerated drugs mark international day drug abuse illicit trafficking
483,1,iranian officials increased executions 2007 officials enforce campaign purportedly aimed promoting virtue boosting security society ,number executions increased iran last year amid campaign aimed improving security society
484,1,india accuses islamabad funding training guerrillas ,india accuses pakistan funding training crossborder guerrillas
485,1,ensuing battle airstrikes killed least 10 militants ,ensuing battle killed least 10 militants
486,0,panamanian foreign ministry communique stated task force facilitate technological transfer promote biofuel production consumption ,panamanian foreign ministry communique stated panama brazil signed 3 juridicalissue treaties included extradition
487,1,vietnam among worlds harshest drug laws ,vietnams drug laws among worlds strictest laws
488,1,indian government prohibited direct indirect export import items materials goods technology could contribute irans enrichmentrelated reprocessing heavy waterrelated activities ,india prohibited direct indirect export import items materials goods technology could contribute irans nuclear weapons delivery systems
489,1,vietnam news agency reported ministry public security stated foreigners involved drug trafficking cases vietnam came mostly laos cambodia australia china united states taiwan ,vietnam news agency reported ministry public security stated police admitted drug trafficking vietnam increasing actions prevent stop drug trafficking along borders remained limited
490,1,saferworld team leader transfer controls small arms roy isbister stated eu embargo prohibits direct indirect supply military equipment use myanmar ,saferworld team leader transfer controls small arms roy isbister stated eu embargo explicitly states military equipment supplied either directly indirectly use myanmar
491,1,united states nato members refused ratify amended treaty ,united states nato members refused ratify updates cfe
492,1,cfe limits use armed forces heavy weaponry prescribes measures aimed confidencebuilding transparency cooperation member states ,treaty limits deployments tanks troops nato former easter european warsaw pact countries establishes confidencebuilding transparency cooperation measures member
493,0,bulgaria located southeastern part balkan peninsula ,drugtrafficking activity rampant southeastern part balkan peninsula
494,1,elbaradei stated last chance build security middle east based trust cooperation possession nuclear weapons ,last chance build security middle east based trust cooperation rather possession nuclear arms
495,1,iranian government dismissed allegations intelligence presented international atomic energy agency board baseless intelligence used support allegations fake ,international atomic energy agency insists iranian governments simple denials intelligence presented international atomic energy agency board good enough allay western countries suspicions
496,1,cfe treaty established 1990 ,treat originally signed 1990
497,1,conventional forces europe treaty considered key arms control treaty ,conventional forces europe treaty key sovietera arms control treaty
498,1,nicaragua commemorated 25th anniversary sandinista revolution toppled dictatorship anastasio somoza imposed cubanstyle leftist regime ,nicaragua commemorated 25th anniversary sandinista revolution
499,1,13 kurds turkey arrested near paris suspicion moneylaundering kurdistan workers party pkk ,10 kurds investigation france suspicion moneylaundering terrorist organization known kurdistan workers party pkk
500,1,meetings lasted 2 days ,osce meeting lasted two days
501,0,villagers inadvertently involving drug trafficking ,105 inmates serving sentences drug trafficking
502,1,russian government strongly opposes us plans install antimissile defenses europe dismisses us assertions interceptors needed defend threats iran ,talks nato headquarters baluyevsky repeated russias opposition us plans install antimissile defenses europe dismissed us assertions interceptors needed defend potential threats iran
503,1,hong kong universities collaborate universities businesses government sectors mainland china coordinate training programs research centers promote hightech research commercialization technology transfer ,hong kong universities collaborated tertiary education business government sectors mainland china direct training programs research centers promote research commercialization technology transfer
504,0,chinese government gave active cooperation assistance organization prohibition chemical weapons inspections ,ecuadorian foreign ministry said statement delegates organization prohibition chemical weapons opaq also take part meeting
505,1,mexican government adopted series measures drug trafficking organized crime within mexico since 2006 ,since 2006 mexico adopted series measures drug trafficking organized crimes
506,1,statement specify quantity warheads missile capable carrying ,statement specify many warheads missile carry
507,1,serious threat international security ,presents major threat global security
508,1,nicaragua commemorated 25th anniversary sandinista revolution ,nicaragua reconciled approach anniversary sandinista revolution
509,1,russian president vladimir putin states decision cease implementation conventional forces europe treaty response us plans establish missile defense sites eastern europe natos failure ratify amended version treaty ,russian president vladimir putin states decision response us plans establish missile defense sites eastern europe natos failure ratify amended version treaty
510,1,dutch national research institute tno carried chemical weapons experiments dutch defense ministry 1950s ,hpdetijd journalist learned tnos chemical weapons experiments defense ministrys archives
511,1,report issued security software vendor mcafee inc said governmentaffiliated hackers china forefront brewing cyber cold war ,governmentaffiliated hackers china forefront burgeoning cyber cold war
512,1,treaty limits number aircraft tanks nonnuclear heavy weapons around europe first signed 1990 ,treaty limits number aircraft tanks nonnuclear heavy weapons around europe
513,0,many attacks originated abroad ,estonian officials stated attacks originated russia
514,0,police arrested 2 honduran drug trafficking suspects ,bulgarian police arrest head drug trafficking group
515,1,japan rises occasion japan never beaten even terms military power ,ozawa said japan rises occasion japan never beaten even terms military power
516,1,egypt jordan signed nuclear nonproliferation treaty long called middle east free weapons mass destruction ,syria signed nuclear nonproliferation treaty allowed agency experts inspect known nuclear facility
517,0,russia already participates european space agencys ,france leader european space agency
518,1,myanmar military state ,myanmar military junta
519,0,say men hanged prison ,dozens criminals hanged public
520,1,amnesty internationals report compiled european international nongovernmental organizations saferworld opposes armed violence ,amnesty international report compiled european international nongovernmental forums
521,1,institute public policy research report said 27 weak states pose threat britains national security states could provide bases terrorists ,report said 27 weak states pose threat britains national security states could provide bases terrorists
522,1,iranian government denied accusation insists nuclear program peaceful purposes ,iran insists nuclear program peaceful purposes
523,1,proliferation security initiative calls stopping searching ships suspected carrying weapons mass destruction ,members proliferation security initiative considering ways intercepting ships aircraft suspected carrying weapons mass destruction
524,1,international community modernize seek fair reasonable effective way enhance nuclear nonproliferation regime extensive consultations ,third proposal countries advance times seek fair reasonable effective way enhance nuclear nonproliferation regime broad consultation
525,1,amnesty international published report stating indian project sell attack helicopters myanmar threatens european union arms embargo myanmar ,amnesty international report titled indian helicopters myanmar making mockery eu arms embargo
526,1,naeem smuggled 10 kilograms 22 pounds heroin ,defendants smuggled 11 kilograms 24 pounds heroin
527,1,29 people convicted quang ninh peoples court participating drug ring trafficked heroin vietnam china ,court official tran dao stated 12 people among 29 people convicted quang ninh peoples court participating drug ring trafficked heroin vietnam china
528,0,lawyer michael karras named ss dhillon could reached comment ,durban port authorities police explosives inspectors could reached comment
529,1,countries oppose weaponization space arms race space ,china stressed opposition weaponization arms race outer space
530,1,france belgium germany sweden italy britain provide parts technology advanced light helicopter alh ,france belgium germany sweden italy britain provide parts technology advanced light helicopter india plans sell myanmar
531,1,illegal arms trafficking increases kenya due easy availability neighboring conflicts ,illegal arms trafficking increased kenya raised concern security
532,1,nr mohanty stated agreement signed defense research development organisation hindustan aeronautics limited indian air force upgrade indias ageing fleet mig27 aircraft ,mohanty stated upgrade done soon almost finalised defense research development organisation hindustan aeronautics limited indian air force
533,1,elbaradei states middle east peace deal reached parallel security agreement based eradicating weapons mass destruction region ,elbaradei quoted saying peace deal israel arab neighbors must reached parallel security agreement based eradicating weapons mass destruction region
534,0,drug traffickers face death penalty tajik law ,afghan drug trafficker caught tajikistan
535,1,international atomic energy association united nations watchdog ,international atomic energy agency uns nuclear watchdog
536,1,wen states main purpose germany visit advance trade economic technological exchanges ,wen stated purpose visit germany advance trade economic technological exchanges
537,0,united states officials know far north koreas nuclear weapons program progressed ,hill head american negotiator north koreas nuclear weapons program
538,1,7 police officers killed 4 officers wounded ,clash 7 seven police officers killed 4 seriously wounded
539,1,defense chiefs estonia latvia lithuania germany italy spain slovakia sign agreement provide staff funding center ,defense chiefs estonia latvia lithuania germany italy spain slovakia signed agreement
540,1,bill proposing new law allowing use space programs defense already approved lower house japans government last week ,bill new law already approved japanese governments lower house last week
541,1,van der merwe sentenced geiges total 13 years imprisonment ,van der merwe suspended geiges sentence 5 years imprisonment
542,0,zahedan city southeastern ,bam city southeastern
543,1,president putin stated russia would take countermeasures ,putin warned russia would take retaliatory actions
544,1,china far balked united states pressure china stop search north korean ships ,china stated united states pressure china stop search north korean ships could trigger military clashes
545,1,brazils strategic affairs minister roberto mangabeira unger stated brazils new national defense plan calls establishing partnerships countries including russia france build stateoftheart weapons industry ,unger stated brazils new national defense plan calls establishing partnerships countries including russia france build stateoftheart weapons industry
546,0,accused charged international drug trafficking ,accused also charged money laundering tax evasion corruption
547,1,variants advanced light helicopter alh contain rocket launchers belgium rockets guns engines france brake systems italy fuel tanks gearboxes britain selfprotection equipment swedish company received crucial design development engine control manufacturing german companies ,alhs arsenal includes rocket launchers belgium rockets guns engines france brake systems italy fuel tanks gearboxes britain selfprotection equipment swedish company
548,1,indian defense ministry increased spending defense purchases ,indian defense ministry increased defense spending new purchases 33 percent
549,0,iaea report restricted ,killers escaped
550,1,conventional forces europe treaty signed russian nato members 1990 ,conventional forces europe treaty amended 1999
551,1,sheik doon salad ilmi said civilian casualties resulting overnight mortar rocket attacks happen every day ,sheik doon salad ilmi stated civilian casualties resulting overnight mortar rocket attacks admitted hospital nearly every day
552,0,south african government maintains good relations united states government ,cfe 1 several issues negatively impacting russias relations united states europe
553,1,nuclear weapon systems high level readiness increase risk weapons used including unintentionally catastrophic consequences ,resolution says high level readiness increases risk use weapons unintentional accidental use would catastrophic consequences
554,1,blix stated essential increase efforts eliminate nuclear arms weapons mass destruction ,blix visiting new zealand said essential greater efforts made eliminate nuclear arms weapons mass destruction
555,0,helmand province worlds largest producer opium ,areva group worlds largest nuclear engineering firm
556,1,afghanistaniran border region scene frequent clashes police drug smugglers ,area near town mirjaveh scene frequent conflicts iranian police drug smugglers
557,1,physicist danilov convicted selling classified information space technology china ,physicist valentin danilov found guilty selling classified information space technology china
558,1,myanmar worlds largest producer illegal opium limited financial technical resources ending drug trade ,myanmar worlds largest producer illicit opium according latest us state department antinarcotics report
559,1,abductee support group hopes parliament change laws soon ,abductee support group use survey press parliament pass new laws
560,1,santos stated colombian police found evidence 2 computers discovered slain rebel leader raul reyes ,francisco santos stated colombian police found evidence two computers discovered raul reyes
561,0,quy doan spokesman vietnamese ministry culture information ,grenell spokesman us mission united nations
562,1,siemens spokesman germany stated heinrich von pierer stated siemens beginning talks interested chinese parties sale plutoniumprocessing facility ,siemens spokesman germany stated heinrich von pierer stated gerhard schroeder stated gerhard schroeder sale plutoniumprocessing facility principle
563,1,vietnam among worlds strictest drug laws ,vietnams drug laws among worlds strictest laws
564,0,government initiatives disarm ineffective ,governance institutions ineffective long time somalia
565,1,putin stated russian government could withdraw treaty altogether western nations refuse ratify amended treaty ,putin stated russia could discard treaty entirely western nations refuse ratify amended version
566,1,russia ratified amended version treaty ,russia ratified amended treaty
567,1,osce discussed possible extension osces mission kosovo ,osce discussed kazakhstans bid hold osce presidency 2009
568,1,elbaradei international atomic energy agency chief ,mohammed elbarade international atomic energy agencys director general
569,0,nuclear nonproliferation treaty 37 years old ,nuclear nonproliferation treaty reviewed every 5 years
570,1,chinese foreign ministry spokeswoman jiang yu stated cyber hacking global issue ,chinese foreign ministry spokesman qin gang asked respond cheneys speech chinas military development
571,1,plant constructed next existing plant projected operational 7 years ,plant constructed next existing plant also supplied china operational since 1999
572,1,cyber attacks considered growing threat military civilian computer networks ,nato considers cyber attacks growing threat military civilian computer networks
573,0,india blames foreign militants part propaganda mislead international community ,abe urged assertive foreign policy japan international community
574,1,riyadhbased naif arab academy security sciences said statement running twoweek workshop 50 antiterrorism experts ,statement naif arab academy security sciences announced sponsor 2week workshop 50 antiterrorism experts
575,1,88 percent liberal democratic party supports economic sanctions ,80 percent opposition democratic party supports economic sanctions
576,0,sharia islamic law ,iran islamic republic 
577,1,number suspected islamic militants alleged alqaida links arrested malaysia singapore officials stated militants network extends indonesia ,suspected islamic militants alleged alqaida links arrested malaysia singapore
578,1,september 2007 jordan signed accord united states aimed supporting peaceful development jordans nascent nuclear program ,september 2007 united states signed accord jordan aimed supporting peaceful development jodrans new nuclear program
579,1,according statement rs24 reinforces military potential strategic forces overcome antimissile defense systems ,according statement prototype rs24 rocket unlike topolm equipped multiple independently targetable warheads overwhelm defense systems
580,0,naeem hanged zabol sistanbaluchestan province ,zahedan capital sistanbaluchestan province
581,1,iran lies major drug route afghanistan europe persian gulf states ,iran lies major drug trafficking route afghanistan europe well persian gulf states
582,0,hosted australian government ,us plans angered russian government
583,1,5 permanent united nations security council members britain china france russia united states ,p51 members britain china france russia germany united states
584,1,july 2006 jordanian prime minister maaruf bakhit stated raghdad hussein family living protection king abdullah ii ,jordanian prime minister maaruf bakhit said july 2006 raghdad hussein family living protection king abdullah ii iraq issued
585,1,siemens spokesman germany stated agence francepresse siemens confident outcome talks sell plutoniumprocessing facility ,siemens spokesman germany refrained commenting political aspect sale plutoniumprocessing facility
586,1,cyber attack occurred french president sarkozys meeting dalai lama angered chinese government ,cyber attack occurred french president nicolas sarkozys meeting exiled tibetan spiritual leader dalai lama
587,1,south african government imposed ban prohibits recruitment people inside outside south africa mercenary foreign military assistance ,south africas foreign ministry stated south africas foreign military assistance act prohibits recruitment people inside outside south africa mercenary foreign military assistance
588,0,ukraine almost necessary approvals join european space agencys program ,france leader european space agency
589,1,north korean government warned south korean government participating proliferation security initiative program ,north korean government stated south korean government participates proliferation security initiative program would result unspecified catastrophic consequences
590,1,chinas council agriculture opens special office charge agricultural technology transfers intellectual property rights management consultancy enhance development chinas knowledgebased agriculture applications agricultural technology ,lee stated coa spent past several years setting relevant mechanisms drafting set promotional measures enhance development chinas knowledgebased agriculture applications agricultural technology
591,1,iranian parliamentary speaker gholamali haddadadel visited cuba ,agreements signed iranian majlis parliament speaker gholamali haddadadels visit cuba
592,1,tibet suspects chinese government creating virus spy tibetan exiles dalai lama ,tibet suspects chinese government launching attack
593,0,chinese authorities immediately available comment ,godzhayev godzhayevs lawyers immediately available comment
594,0,european union united states frozen alqadis assets ,western governments include united states france
595,0,chinese government strengthened chinas antiproliferation capacity recent years ,chinese government strictly censored chinas chemical imports exports according law recent years
596,1,group representing mainly white south africans called afriforum stated would organize protests along route zimbabwe ,afriforum stated group would organize protests along route zimbabwe
597,1,putin announced cfe treaty duly protect russias security interests ,cfe treaty duly protect russian federations security interests
598,1,ahmad fighting extradition united states lodged formal complaint alleging british police concocted intelligence reports implicate ahmad terror activities desecrated koran ,ahmad lodged formal complaint independent police complaints commission alleging british police concocted intelligence reports implicate ahmad terror activities desecrated ahmads copy islamic holy book koran putting koran floor search ahmads home
599,1,russia ratified amended version united states nato members refused russian government withdraws troops former soviet republics moldova georgia ,united states nato members refused ratify amended version russia withdraws troops former soviet republics moldova georgia
600,0,part purpose united states plan increase pressure north korea ,united states allies united states believe iran pursuing nuclear arms
601,0,tskhinvali capital georgia ,paris capital france
602,0,indian government official stated india attach much credence reports amnesty international ,one indian government official studied blueprints stated science old dated still functional
603,1,chinas cabinet state council announced amend regulations dualuse nuclear technology prevent nuclear terrorism ,amending regulations dualuse nuclear technology prevent nuclear terrorism
604,0,japanese prime minister junichiro koizumi said shift rods proactive ,2002 japanese prime minister junichiro koizumi attended summit north korea north korean leader kim jong il
605,1,opposition japanese communist party new law feared would lead stronger military ,opposition japanese communist party bill proposing new law
606,1,asean officials stated standardization would difficult due different countries political systems ,officials stated task would difficult asean members varied legal political systems
607,1,iraq lobbying security council stop using countrys oil revenue pay compensation victims 1991 gulf war salaries united nations monitoring verification inspection commission inspectors money remaining united nations oilforfood accounts transferred governments development fund ,iraqs new leaders lobbying united nations security council stop using iraqs oil revenue pay salaries inspectors money remaining united nations oilforfood account transferred iraqi government
608,1,key european arms control treaty must maintained ,cfe treaty key european arms control treaty
609,1,golden triangle region 1 worlds biggest producers opium ,helmand province worlds largest producer opium
610,1,united states dismissed action nuclear blackmail ,united states said would stand nuclear blackmail ruled negotiations
611,1,meeting 3 days long ,meetings lasted 2 days
612,1,ministers china laos india myanmar thailand also address crop substitution initiatives impoverished ethnic minorities still rely opium cultivation ,ministers china laos india myanmar thailand discuss find markets goods produced crop substitution related programs ecotourism handicraft manufacturing
613,1,china nuclear power member un security council ,china permanent member un security
614,0,north korean officials suspected building nuclear weapons ,north korea currently process dismantling nuclear weapons program
615,1,australian television reporter peter lloyd faces 3 new drug charges singapore ,according court documents 25 july australian television reporter peter lloyd faced 3 new drug charges singapore
616,1,president vladimir putin signed decree suspending russias participation conventional forces europe treaty ,russian president vladimir putin signed decree suspending russias participation conventional forces europe treaty due circumstances affect security russian federation require immediate measure
617,1,extradition conditions stipulate tunisian prosecuted single charge falsifying documents italian authorities provide sufficient evidence prosecute ,spokesman swiss justice ministry folco galli stated extradition conditions stipulate mejri prosecuted single charge falsifying documents italian authorities could provide sufficient evidence prosecute
618,1,attacks believed come russian administration ip addresses response relocation soviet statue estonia ,attacks occurred dispute governments russia estonia relocation soviet war memorial
619,0,india pakistan remain outside treaty ,israel remains outside treaty
620,0,china member ballistic missile club ,russia member quartet middle east
621,1,russia may pull treaty us nato allies refuse ratify amended version ,warned russia would withdraw treaty western nations refuse ratify amended version
622,0,particularly true poorest countries ,particularly ethiopia withdraws forces
623,1,iran noticeably increased number executions recent months officials enforce campaign aimed promoting virtue boosting security ,iranian officials increased executions 2007 officials enforce campaign purportedly aimed promoting virtue boosting security society
624,0,statement issued official spa news agency stated aldosari convicted drug trafficking ,rapist identified hossein safarlou also convicted drug trafficking
625,0,tajikistan uzbekistan share border afghanistan experienced raids talibanbacked islamic militants recent years ,neighboring kyrgyzstan also experienced raids talibanbacked islamic militants recent years
626,0,russia said system clear threat russian security ,serious threat international security
627,1,gang engaged illegal activities including racketeering blackmail arms smuggling cigarette smuggling money laundering allegedly used proceeds fund terrorist groups chechnya ,dans stated gang engaged illegal activities including racketeering blackmail arms smuggling cigarette smuggling money laundering
628,1,state scientific center applied microbiology every kind deadly bacteria studied use secret biological weapons program soviet union ,state scientific center applied microbiology working western scientists convert complex biomedical manufacturing site
629,0,international atomic energy agency access people documents sites ,international atomic energy agency based
630,0,book states drug conveys completely positive image ,official stated complete technology transfer
